No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2806,FLNT,"Fluent, Inc.",Communication Services,Advertising Agencies,USA,132.74M,-,1.65,4.43%,"75,027"
2807,FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,USA,5.78B,26.85,27.57,-1.04%,"2,099,163"
2808,FLOT,iShares Floating Rate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,50.58,-0.06%,"3,408,018"
2809,FLQL,Franklin U.S. Large Cap Multifactor Index ETF,Financial,Exchange Traded Fund,USA,-,-,41.53,0.08%,"20,594"
2810,FLQM,Franklin U.S. Mid Cap Multifactor Index ETF,Financial,Exchange Traded Fund,USA,-,-,44.95,-0.07%,"90,838"
2811,FLR,Fluor Corporation,Industrials,Engineering & Construction,USA,5.11B,-,36.39,0.86%,"1,115,538"
2812,FLRN,SPDR Bloomberg Investment Grade Floating Rate ETF,Financial,Exchange Traded Fund,USA,-,-,30.55,0.03%,"564,075"
2813,FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,USA,4.32B,56.02,35.85,-1.02%,"920,689"
2814,FLSW,Franklin FTSE Switzerland ETF,Financial,Exchange Traded Fund,USA,-,-,30.95,0.31%,"2,419"
2815,FLT,"FLEETCOR Technologies, Inc.",Technology,Information Technology Services,USA,15.26B,16.90,210.00,-0.16%,"422,240"
2816,FLTB,Fidelity Limited Term Bond ETF,Financial,Exchange Traded Fund,USA,-,-,48.17,-0.26%,"15,639"
2817,FLTR,VanEck IG Floating Rate ETF,Financial,Exchange Traded Fund,USA,-,-,25.22,0.04%,"372,531"
2818,FLUX,"Flux Power Holdings, Inc.",Industrials,Electrical Equipment & Parts,USA,94.67M,-,6.44,-4.02%,"168,841"
2819,FLV,American Century Focused Large Cap Value ETF,Financial,Exchange Traded Fund,USA,-,-,60.17,-0.36%,"2,948"
2820,FLWS,"1-800-FLOWERS.COM, Inc.",Consumer Cyclical,Specialty Retail,USA,646.95M,209.57,9.85,-4.28%,"1,244,896"
2822,FLYW,Flywire Corporation,Technology,Information Technology Services,USA,2.89B,-,26.26,1.12%,"738,757"
2823,FM,iShares MSCI Frontier and Select EM ETF,Financial,Exchange Traded Fund,USA,-,-,25.29,-0.63%,"526,483"
2824,FMAG,Fidelity Magellan ETF,Financial,Exchange Traded Fund,USA,-,-,20.10,0.22%,"5,547"
2825,FMAO,"Farmers & Merchants Bancorp, Inc.",Financial,Banks - Regional,USA,363.54M,10.89,26.79,-3.35%,"30,989"
2826,FMAR,FT Cboe Vest US Eq Buffer ETF - March,Financial,Exchange Traded Fund,USA,-,-,32.91,0.28%,"2,650"
2827,FMAT,Fidelity MSCI Materials Index ETF,Financial,Exchange Traded Fund,USA,-,-,46.93,0.39%,"32,386"
2828,FMAY,FT Cboe Vest US Eq Buffer ETF - May,Financial,Exchange Traded Fund,USA,-,-,37.16,0.11%,"28,375"
2829,FMB,First Trust Managed Municipal ETF,Financial,Exchange Traded Fund,USA,-,-,51.08,-0.21%,"190,094"
2830,FMBH,"First Mid Bancshares, Inc.",Financial,Banks - Regional,USA,641.63M,8.71,31.36,-1.91%,"14,423"
2831,FMC,FMC Corporation,Basic Materials,Agricultural Inputs,USA,15.94B,21.51,128.64,-0.23%,"760,587"
